Source,Target,Type,edge_type,valence,weight,claim_id,claim_label
Biennier_2024,CLAIM_1,Directed,SUPPORTS,favourable,1,1,Polysaccharide A reduces GVHD
Faraci_2024,CLAIM_1,Directed,SUPPORTS,favourable,1,1,Polysaccharide A reduces GVHD
Portincasa_2022,CLAIM_1,Directed,SUPPORTS,favourable,1,1,Polysaccharide A reduces GVHD
Chi_2023,CLAIM_1,Directed,SUPPORTS,favourable,1,1,Polysaccharide A reduces GVHD
Rooks&Garrett_2016,CLAIM_1,Directed,SUPPORTS,favourable,1,1,Polysaccharide A reduces GVHD
Biennier_2024,CLAIM_2,Directed,SUPPORTS,favourable,1,2,SCFAs reduce GVHD
Faraci_2024,CLAIM_2,Directed,SUPPORTS,favourable,1,2,SCFAs reduce GVHD
Portincasa_2022,CLAIM_2,Directed,SUPPORTS,favourable,1,2,SCFAs reduce GVHD
Chi_2023,CLAIM_2,Directed,SUPPORTS,favourable,1,2,SCFAs reduce GVHD
Rooks&Garrett_2016,CLAIM_2,Directed,SUPPORTS,favourable,1,2,SCFAs reduce GVHD
Takahashi_2020,CLAIM_3,Directed,SUPPORTS,favourable,1,3,Clostridia reduce GVHD
Biliński_2022,CLAIM_3,Directed,SUPPORTS,favourable,1,3,Clostridia reduce GVHD
Gavriilaki_2024,CLAIM_3,Directed,SUPPORTS,favourable,1,3,Clostridia reduce GVHD
Takahashi_2020,CLAIM_4,Directed,SUPPORTS,favourable,1,4,Faecalibacterium prausnitzii reduces GVHD
Biliński_2022,CLAIM_4,Directed,SUPPORTS,favourable,1,4,Faecalibacterium prausnitzii reduces GVHD
Gavriilaki_2024,CLAIM_4,Directed,SUPPORTS,favourable,1,4,Faecalibacterium prausnitzii reduces GVHD
Eriguchi_2012,CLAIM_5,Directed,SUPPORTS,favourable,1,5,Bifidobacterium reduces GVHD
Eriguchi_2012,CLAIM_6,Directed,SUPPORTS,favourable,1,6,Lactobacillus reduces GVHD
Yue_2024,CLAIM_7,Directed,SUPPORTS,favourable,1,7,Indole-3-aldehyde reduces GVHD
Kimura_2020,CLAIM_8,Directed,SUPPORTS,unfavourable,1,8,Bacteroides thetaiotaomicron exacerbates GVHD
Fujiwara_2021,CLAIM_9,Directed,SUPPORTS,favourable,1,9,Clostridium scindens reduces GVHD
Kiriyama&Nochi_2023,CLAIM_9,Directed,SUPPORTS,favourable,1,9,Clostridium scindens reduces GVHD
Khuat_2021,CLAIM_10,Directed,SUPPORTS,unfavourable,1,10,Enterococcus exacerbates GVHD
Henig_2021,CLAIM_11,Directed,SUPPORTS,favourable,1,11,Clostridiales reduce GVHD
Kaźmierczak-Siedlecka_2021,CLAIM_12,Directed,SUPPORTS,unfavourable,1,12,Lactobacillus exacerbates GVHD
Henrick_2021,CLAIM_5,Directed,SUPPORTS,favourable,1,5,Bifidobacterium reduces GVHD
Laursen_2021,CLAIM_5,Directed,SUPPORTS,favourable,1,5,Bifidobacterium reduces GVHD
Shono_2016,CLAIM_13,Directed,SUPPORTS,favourable,1,13,Akkermansia reduces GVHD
Kouidhi_2021,CLAIM_13,Directed,SUPPORTS,favourable,1,13,Akkermansia reduces GVHD
