Title,Abstract
Disturbances in microbial skin recolonization and cutaneous immune response       following allogeneic stem cell transfer.,"The composition of the gut microbiome influences the clinical course after       allogeneic hematopoietic stem cell transplantation (HSCT), but little is known       about the relevance of skin microorganisms. In a single-center, observational       study, we recruited a cohort of 50 patients before undergoing conditioning       treatment and took both stool and skin samples up to one year after HSCT. We       could confirm intestinal dysbiosis following HSCT and report that the skin       microbiome is likewise perturbed in HSCT-recipients. Overall bacterial       colonization of the skin was decreased after conditioning. Particularly patients       that developed acute skin graft-versus-host disease (aGVHD) presented with an       overabundance of Staphylococcus spp. In addition, a loss in alpha diversity was       indicative of aGVHD development already before disease onset and correlated with       disease severity. Further, co-localization of CD45(+) leukocytes and       staphylococci was observed in the skin of aGVHD patients even before disease       development and paralleled with upregulated genes required for       antigen-presentation in mononuclear phagocytes. Overall, our data reveal       disturbances of the skin microbiome as well as cutaneous immune response in HSCT       recipients with changes associated with cutaneous aGVHD."
FK506 and Lactobacillus acidophilus ameliorate acute graft-versus-host disease by       modulating the T helper 17/regulatory T-cell balance.,"BACKGROUND: Graft-versus-host disease (GvHD) is a critical complication after       allogeneic hematopoietic stem cell transplantation (HSCT). The immunosuppressants       given to patients undergoing allogeneic HSCT disturb the microbiome and the host       immune system, potentially leading to dysbiosis and inflammation, and may affect       immune function and bone marrow transplantation. The intestinal microbiome is a       target for the development of novel therapies for GvHD. Lactobacillus species are       widely used supplements to induce production of antimicrobial and       anti-inflammatory factors. METHODS: We determined the effect of the combination       of Lactobacillus acidophilus and FK506 on GvHD following major histocompatibility       complex-mismatched bone marrow transplantation. RESULTS: The combination       treatment suppressed IFN-γ and IL-17-producing T cell differentiation, but       increased Foxp3(+)Treg differentiation and IL-10 production. Also, the       combination treatment and combination treated-induced Treg cells modulated the       proliferation of murine alloreactive T cells in vitro. Additionally, the       combination treatment upregulated Treg-related genes-Nt5e, Foxp3, Ikzf2, Nrp1 and       Itgb8-in murine CD4(+)-T cells. The combination treatment also alleviated GvHD       clinically and histopathologically by controlling the effector T cell and Treg       balance in vivo. Moreover, the combination treatment decreased Th17       differentiation significantly and significantly upregulated Foxp3 and IL-10       expression in peripheral blood mononuclear cells from healthy controls and liver       transplantation (LT) patients. CONCLUSIONS: Therefore, the combination of L.       acidophilus and FK506 is effective and safe for patients undergoing allogeneic       hematopoietic stem cell transplantation."
Impact of route and adequacy of nutritional intake on outcomes of allogeneic       haematopoietic cell transplantation for haematologic malignancies.,"BACKGROUND: Allogeneic haematopoietic cell transplantation (HCT) is often       associated with poor oral intake due to painful mucositis and gastrointestinal       sequalae that occur following a preparative regimen of intensive chemotherapy       and/or total body radiation. Although attractive to assume that optimal nutrition       improves HCT outcomes, there are limited data to support this. It is also unclear       whether artificial nutrition support should be provided as enteral tube feeding       or parenteral nutrition (PN). METHODS: We analysed day-100 non-relapse mortality       (NRM), incidence of acute graft-versus-host disease (GvHD), acute       gastrointestinal GvHD, 5-year survival and GvHD-free/relapse-free survival (GRFS)       according to both route and adequacy of nutritional intake prior to neutrophil       engraftment, together with other known prognostic factors, in a retrospective       cohort of 484 patients who underwent allogeneic HCT for haematologic malignancy       between 2000 and 2014. RESULTS: Multivariate analyses showed increased NRM with       inadequate nutrition (hazard ratio (HR) 4.1; 95% confidence interval (CI)       2.2-7.2) and adequate PN (HR 2.9; 95% CI 1.6-5.4) compared to adequate enteral       nutrition (EN) both P < .001. There were increased incidences of gastrointestinal       GvHD of any stage and all GvHD ≥ grade 2 in patients who received PN (odds ratio       (OR) 2.0; 95% CI 1.2-3.3; P = .006, and OR 1.8; 95% CI 1.1-3.0; P = .018,       respectively), compared to adequate EN. Patients who received adequate PN and       inadequate nutrition also had reduced probabilities of survival and GRFS at 5       years. CONCLUSION: Adequate EN during the early transplantation course is       associated with reduced NRM, improved survival and GRFS at 5 years. Furthermore,       adequate EN is associated with lower incidence of overall and gut acute GvHD than       PN, perhaps because of its ability to maintain mucosal integrity, modulate the       immune response to intensive chemo/radiotherapy and support the gastrointestinal       tract environment, including gut microflora."
Allogenic stem cell transplant-associated acute graft versus host disease: a computational drug discovery text mining approach using oral and gut microbiome signatures,"Acute graft versus host disease (aGVHD) is a major cause of non-relapse morbidity and mortality post-allogenic hematopoietic stem cell transplant (HSCT). Using conventional literature search and computational approaches, our objective was to identify oral and gut bacterial species associated with aGVHD, potentially affecting drug treatment via lipopolysaccharide (LPS) pathways. Medline, PubMed, PubMed Central, and Google Scholar were searched using MeSH terms. The top 100 hits per database were curated, and 25 research articles were selected to examine oral and gut microbiomes associated with health, HSCT, and aGVHD. Literature search validation, aGVHD drug targets, and microbial metabolic pathway identification were completed using BioReader, MACADAM, KEGG, and STRING programs. Our review determined that (1) oral genera Rothia, Solobacterium, and Veillonella were identified in HSCT patients’ stool and associated with aGVHD; (2) shifts in gut enterococci profiles were determined in HSCT-associated aGVHD; (3) gut microbiome dysbiosis prior or during HSCT and lower Shannon diversity index at time of HSCT were also associated with increased risk of aGVHD and transplant related death; and (4) Coriobacteriaceae family was negatively correlated with gut aGVHD, whereas Eubacterium limosum was associated with decreased risk of chronic GVHD relapse. Additionally, we identified molecular pathways related to TLR4/ LPS, including candidate aGVHD drug targets, impacted by oral and gut bacterial taxa. Reduced microbial diversity reflects higher severity and mortality rate in HSCT patients with aGVHD. Multi-omics approaches to decipher oral and gut microbiome associations will be critical for developing aGVHD preventive therapies."
Allogenic stem cell transplant-associated acute graft versus host disease: a computational drug discovery text mining approach using oral and gut microbiome signatures.,
Dynamics of the Gut Microbiota in Children Receiving Selective or Total Gut       Decontamination Treatment during Hematopoietic Stem Cell Transplantation.,"Bloodstream infections and graft-versus-host disease are common complications       after hematopoietic stem cell transplantation (HSCT) procedures, associated with       the gut microbiota that acts as a reservoir for opportunistic pathogens.       Selective gut decontamination (SGD) and total gut decontamination (TGD) during       HSCT have been associated with a decreased risk of developing these complications       after transplantation. However, because studies have shown conflicting results,       the use of these treatments remains subject of debate. In addition, their impact       on the gut microbiota is not well studied. The aim of this study was to elucidate       the dynamics of the microbiota during and after TGD and to compare these with the       dynamics of SGD. In this prospective, observational, single-center study fecal       samples were longitudinally collected from 19 children eligible for allogenic       HSCT (TGD, n=12; SGD, n=7), weekly during hospital admission and monthly after       discharge. In addition, fecal samples were collected from 3 family stem cell       donors. Fecal microbiota structure of patients and donors was determined by 16S       rRNA gene amplicon sequencing. Microbiota richness and diversity markedly       decreased during SGD and TGD and gradually increased after cessation of       decontamination treatment. During SGD, gut microbiota composition was relatively       stable and dominated by Bacteroides, whereas it showed high inter- and       intraindividual variation and low Bacteroides abundance during TGD. In some       children TGD allowed the genera Enterococcus and Streptococcus to thrive during       treatment. A gut microbiota dominated by Bacteroides was associated with       increased predicted activity of several metabolic processes. Comparing the       microbiota of recipients and their donors indicated that receiving an SCT did not       alter the patient's microbiota to become more similar to that of its donor.       Overall, our findings indicate that SGD and TGD affect gut microbiota structure       in a treatment-specific manner. Whether these treatments affect clinical outcomes       via interference with the gut microbiota needs to be further elucidated."
Bone marrow transplantation.,"Improvements in the results of bone marrow transplantation for the treatment of       SCID may be expected by employing purified stem-cell concentrates for patients       who do not have a compatible sibling available. Refinements in the purification       technique and its monitoring are required, however. For the same category of       patients it seems worthwhile to continue attempts at restoration with liver cells       from fetuses less than 12 weeks of age. In addition, full protection against       infections should be provided for patients expected to develop GVHD, and,       therefore, such patients should only be treated in centers where reverse       isolation and bacteriologic decontamination can be performed. In view of the       rarity of the disease, transplanters should agree on a limited number of graft       protocols. For the treatment of bone marrow aplasia, attempts to identify the       factors that can serve to predict the occurrence of GVHD in compatible host-donor       sibling pairs should be continued. Only when the patients who will develop GVHD       can be recognized in advance will it be feasible to fully exploit available GVHD       reductive measures. In particular the role of the intestinal microflora should be       investigated in this respect. Experimental evidence is presented, suggesting an       aggravating influence of microflora on GVHD lesions, which are primarily induced       by histocompatibility reactions. For such studies with incompatible siblings, the       dog is the best available animal model. For the selective isolation of       hemopoietic stem cells for transplantation purposes (as one means of reducing       GVHD), methods for rapid identification of stem cells and immune competent cells,       respectively, have to be developed. In leukemia, more research is necessary on       the factors that play a role in the late complications of bone marrow       transplantation. The toxicity of aggressive regimens employed in the eradication       of the leukemia should be further analyzed. The collection of autologous normal       hemopoietic stem cells from leukemic patients as introduced by Dicke et al.       warrants further exploration to see whether these cells may replace the       allogeneic transplantation procedure, thus avoiding all the complications       generally encountered in GVHD. For all three diseases, it is extremely important       to develop a method for the selection of compatible donors among unrelated       individuals, because this will at least double the number of candidates for       therapeutic bone marrow transplantation. Current progress in histocompatibility       typing in the rhesus monkey and the dog makes these species excellent models for       such investigations."
Graft-Derived Reconstitution of Mucosal-Associated Invariant T Cells after       Allogeneic Hematopoietic Cell Transplantation.,"Mucosal-associated invariant T (MAIT) cells express a semi-invariant Vα7.2(+) T       cell receptor (TCR) that recognizes ligands from distinct bacterial and fungal       species. In neonates, MAIT cells proliferate coincident with gastrointestinal       (GI) bacterial colonization. In contrast, under noninflammatory conditions adult       MAIT cells remain quiescent because of acquired regulation of TCR signaling.       Effects of inflammation and the altered GI microbiota after allogeneic       hematopoietic cell transplantation (HCT) on MAIT cell reconstitution have not       been described. We conducted an observational study of MAIT cell reconstitution       in myeloablative (n = 41) and nonmyeloablative (n = 66) allogeneic HCT recipients       and found that despite a rapid and early increase to a plateau at day 30 after       HCT, MAIT cell numbers failed to normalize for at least 1 year. Cord blood       transplant recipients and those who received post-HCT cyclophosphamide for graft       versus host disease (GVHD) prophylaxis had profoundly impaired MAIT cell       reconstitution. Sharing of TCRβ gene sequences between MAIT cells isolated from       HCT grafts and blood of recipients after HCT showed early MAIT cell       reconstitution was due at least in part to proliferation of MAIT cells       transferred in the HCT graft. Inflammatory cytokines were required for       TCR-dependent MAIT cell proliferation, suggesting that bacterial Vα7.2(+) TCR       ligands might promote MAIT cell reconstitution after HCT. Robust MAIT cell       reconstitution was associated with an increased GI abundance of Blautia spp. MAIT       cells suppressed proliferation of conventional T cells consistent with a possible       regulatory role. Our data identify modifiable factors impacting MAIT cell       reconstitution that could influence the risk of GVHD after HCT."
Early gut microbiota signature of aGvHD in children given allogeneic       hematopoietic cell transplantation for hematological disorders.,"BACKGROUND: The onset of acute Graft-versus-Host Disease (aGvHD) has been       correlated with the gut microbiota (GM) composition, but experimental       observations are still few, mainly involving cohorts of adult patients. In the       current scenario where fecal microbiota transplantation has been used as a       pioneer therapeutic approach to treat steroid-refractory aGvHD, there is an       urgent need to expand existing observational studies of the GM dynamics in       Hematopoietic Stem Cell Transplantation (HSCT). Aim of the present study is to       explore the GM trajectory in 36 pediatric HSCT recipients in relation to aGvHD       onset. METHODS: Thirty-six pediatric patients, from four transplantation centers,       undergoing HSCT were enrolled in the study. Stools were collected at three time       points: before HSCT, at time of engraftment and > 30 days following HSCT. Changes       in the GM phylogenetic structure were studied by 16S rRNA gene Illumina       sequencing and phylogenetic assignation. RESULTS: Children developing gut aGvHD       had a dysbiotic GM layout before HSCT occurred. This putative aGvHD-predisposing       ecosystem state was characterized by (i) reduced diversity, (ii) lower Blautia       content, (iii) increase in Fusobacterium abundance. At time of engraftment, the       GM structure underwent a deep rearrangement in all patients but, regardless of       the occurrence of aGvHD and its treatment, it reacquired a eubiotic configuration       from day 30. CONCLUSIONS: We found a specific GM signature before HSCT predictive       of subsequent gut aGvHD occurrence. Our data may open the way to a GM-based       stratification of the risk of developing aGvHD in children undergoing HSCT,       potentially useful also to identify patients benefiting from prophylactic fecal       transplantation."
Gut microbiota trajectory in pediatric patients undergoing hematopoietic SCT.,"Acute GvHD (aGvHD) is the main complication of hematopoietic SCT (HSCT) during       the treatment of hematological disorders. We carried out the first longitudinal       study to follow the gut microbiota trajectory, from both the phylogenetic and       functional points of view, in pediatric patients undergoing HSCT. Gut microbiota       trajectories and short-chain fatty acid production profiles were followed       starting from before HSCT and through the 3-4 months after transplant in children       developing and not developing aGvHD. According to our findings, HSCT procedures       temporarily cause a structural and functional disruption of the gut microbial       ecosystem, describing a trajectory of recovery during the following 100 days. The       onset of aGvHD is associated with specific gut microbiota signatures both along       the course of gut microbiota reconstruction immediately after transplant and,       most interestingly, prior to HSCT. Indeed, in pre-HSCT samples, non-aGvHD       patients showed higher abundances of propionate-producing Bacteroidetes, highly       adaptable microbiome mutualists that showed to persist during the HSCT-induced       ecosystem disruption. Our data indicate that structure and temporal dynamics of       the gut microbial ecosystem can be a relevant factor for the success of HSCT and       opens the perspective to the manipulation of the pre-HSCT gut microbiota       configuration to favor mutualistic persisters with immunomodulatory properties in       the gut."
